"Census Profile, 2021 Census of Population"
,,,"Maple Ridge, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","    $80,000 to $89,999",,  3560,"",  2225,"",  1335,"",    5.0,"",    6.4,"",    3.7,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  2975,"",  1905,"",  1075,"",    4.2,"",    5.5,"",    3.0,"",
"Income of individuals in 2020","    $100,000 and over",,  8875,"",  6615,"",  2260,"",   12.5,"",   19.0,"",    6.2,"",
"Income of individuals in 2020","      $100,000 to $149,999",,  6375,"",  4580,"",  1800,"",    8.9,"",   13.1,"",    5.0,"",
"Income of individuals in 2020","      $150,000 and over",,  2500,"",  2040,"",   460,"",    3.5,"",    5.8,"",    1.3,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22, 73780,"", 36135,"", 37640,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",,  2470,"",  1215,"",  1260,"",    3.3,"",    3.4,"",    3.3,"",
"Income of individuals in 2020","  With after-tax income",, 71310,"", 34925,"", 36385,"",   96.7,"",   96.7,"",   96.7,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,  6330,"",  2505,"",  3820,"",    8.9,"",    7.2,"",   10.5,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  7830,"",  3115,"",  4715,"",   11.0,"",    8.9,"",   13.0,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 11125,"",  4355,"",  6770,"",   15.6,"",   12.5,"",   18.6,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  9740,"",  3990,"",  5745,"",   13.7,"",   11.4,"",   15.8,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  8795,"",  3830,"",  4970,"",   12.3,"",   11.0,"",   13.7,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  7520,"",  3825,"",  3695,"",   10.5,"",   11.0,"",   10.2,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  5730,"",  3395,"",  2340,"",    8.0,"",    9.7,"",    6.4,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  4290,"",  2700,"",  1595,"",    6.0,"",    7.7,"",    4.4,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  3345,"",  2210,"",  1140,"",    4.7,"",    6.3,"",    3.1,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  2110,"",  1480,"",   630,"",    3.0,"",    4.2,"",    1.7,"",
"Income of individuals in 2020","    $100,000 and over",,  4490,"",  3525,"",   965,"",    6.3,"",   10.1,"",    2.7,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  2615,"",  2000,"",   610,"",    3.7,"",    5.7,"",    1.7,"",
"Income of individuals in 2020","      $125,000 and over",,  1880,"",  1530,"",   355,"",    2.6,"",    4.4,"",    1.0,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19, 73780,"", 36135,"", 37640,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",, 20635,"",  8735,"", 11900,"",   28.0,"",   24.2,"",   31.6,"",
"Income of individuals in 2020","  With employment income",, 53145,"", 27405,"", 25735,"",   72.0,"",   75.8,"",   68.4,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",,  6225,"",  2680,"",  3540,"",   11.7,"",    9.8,"",   13.8,"",
"Income of individuals in 2020","    $5,000 to $9,999",,  3705,"",  1475,"",  2235,"",    7.0,"",    5.4,"",    8.7,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  5575,"",  2295,"",  3280,"",   10.5,"",    8.4,"",   12.7,"",
"Income of individuals in 2020","    $20,000 to $29,999",,  4270,"",  1740,"",  2525,"",    8.0,"",    6.3,"",    9.8,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  4500,"",  1820,"",  2680,"",    8.5,"",    6.6,"",   10.4,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  4400,"",  1890,"",  2510,"",    8.3,"",    6.9,"",    9.8,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  4470,"",  2120,"",  2345,"",    8.4,"",    7.7,"",    9.1,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  4035,"",  2270,"",  1765,"",    7.6,"",    8.3,"",    6.9,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  3440,"",  2065,"",  1375,"",    6.5,"",    7.5,"",    5.3,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  2785,"",  1800,"",   990,"",    5.2,"",    6.6,"",    3.8,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  2475,"",  1635,"",   840,"",    4.7,"",    6.0,"",    3.3,"",
"Income of individuals in 2020","    $100,000 and over",,  7260,"",  5615,"",  1645,"",   13.7,"",   20.5,"",    6.4,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  3630,"",  2650,"",   985,"",    6.8,"",    9.7,"",    3.8,"",
"Income of individuals in 2020","      $125,000 and over",,  3630,"",  2965,"",   665,"",    6.8,"",   10.8,"",    2.6,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23, 73775,"", 36140,"", 37635,"",  100.0,"",  100.0,"",  100.0,"",
