,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","              Bulgarian",,      30,,      10,,      25,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,     220,,     105,,     110,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,     145,,      65,,      75,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,      15,,      10,,       5,,     325,,     160,,     165,
"Mother tongue","              Polish",,     345,,     160,,     180,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,    2030,,     950,,    1080,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,     195,,     110,,      90,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,      45,,      25,,      25,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,      55,,      25,,      25,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      20,,      10,,      15,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     310,,     130,,     180,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,      15,,       5,,       5,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,       5,,       0,,       5,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       5,,     240,,     130,,     110,
"Mother tongue","            Welsh",,       0,,       0,,       0,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    1950,,     965,,     990,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,      40,,      20,,      20,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     115,,      65,,      50,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,     370,,     190,,     180,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,       5,,       0,,       5,,     295,,     145,,     145,
"Mother tongue","            German",,    1305,,     625,,     675,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,       0,,       5,,       0,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      30,,      20,,      10,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,      40,,      15,,      25,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,      10,,       5,,       5,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,      35,,      20,,      10,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       5,,       0,,      65,,      45,,      25,
"Mother tongue","          Greek",,     265,,     135,,     125,,    6115,,    3245,,    2870,
